Geracao;Indice;Fitness;Caminho
2;4;998;DDDBCEDEDBBCBBDD
2;5;997;DDEDDDDBDDC
2;6;997;BBCCDDDEDBBBD
2;7;997;BBBDECCCDDDBBBCBD
2;8;997;BBBCCCDDEDEDDDDEDBD
2;9;997;BBBDDDCBEDDDE
2;10;997;DEDEDDEDDDDEDBDDEED
2;11;996;BCDDEDEDDEDDDB
2;12;996;BBBCBDDEDD
2;13;996;BBBCBCCCBCBCBBBDDD
2;14;996;BCBBBCBCBDEDDD
2;15;996;DEBBCCDEDDEDDDDBDE
2;16;996;BBBDDDDDEDEDEEEEDEDD
2;17;996;DDDDDBDDCBEE
2;18;996;DEDDDBCBBBEEEDEDDDCB
2;19;995;BCBBBDDDCCB
2;20;995;BBBDEDDEDEDED
2;21;995;BCBCDDEDDBBCB
2;22;995;DEDDDEEDEDDEDDDED
2;23;995;DDEDDEDBCBCDDBC
2;24;995;DDDBBCBCBBCCBBEDE
2;25;995;BBCCDDEDDBBCB
2;26;995;BBCCBBBCBDDDDECBE
2;27;995;BCBBCCBBBCBDDDCBE
2;28;995;DDEDEDEEDEDEBBBCBDD
2;29;995;DDEDDEDDEDD
2;30;995;DEDDDEEDDDEDEDEBB
2;31;994;BCBCBBBCBDDE
2;32;994;DDDDEEDBCDDEDBCEEBCD
2;33;994;BBBCBDEDDEDE
2;34;994;DEBBBDECBDDEED
2;35;994;BCDDDBBBDEEEDEDE
2;36;994;DEDDDBCDEDDE
2;37;994;BCBBBDEDED
2;38;994;BCDEDEBBCCDDDEDEDB
2;39;994;DEDDEDEDEEDDDEDBBBCC
2;40;994;BBCBBDECBD
2;41;994;BCDEDEBBBDDDEEECCBBD
2;42;994;BCDDDEDDDEDEEB
2;43;994;DEBBBCBDDEDEDEDDCBCC
2;44;994;DDDDEEDBBBCBCCBCBBEE
2;45;994;BBCCBBBDED
2;46;994;BBCCDEBBCBCBCBBDDDCC
2;47;994;DDEEBCDDDEEDDEDEDDED
2;48;994;DDEEDEDEDEDDEDDDED
2;49;993;DEDDEDEEDDEDDDE
2;50;993;DDEEBCDEBBCCDDD
2;51;993;DDEEDDDEEEBBB
2;52;798;DEDEDDEDDCBCDDBCBDD
2;53;796;DDEDDEDCBCDDBCB
2;54;599;BCBCDDDDDBBBCBDDB
2;55;597;DEDEDEDDDEDDDDEDBDB
2;56;596;BBBDDDDDEDDEDEDEDDEE
2;57;594;DDEEDEDEDDBDEDEDDB
2;58;594;DEBBCCDEDDEEDDDCDC
2;59;594;DEDDDEEDDDEDDCEBEB
2;60;592;DDDBCEDDDDEDEECE
2;61;591;DEDDEEBBCBCDDBC
2;62;396;DEDEDEDDDDEDDDBEE
2;63;396;BCBBBCBEEEDEDDD
2;64;396;DDDBBCBCDDBBCBECD
2;65;395;BBCCDDDDDEEDDEDEDDCD
2;66;395;DDEDDDEDEDDEBEDDECDD
2;67;394;BBBDECCCDDBDDCEDB
2;68;394;DDEDDEDBBCCBBEDEC
2;69;393;DDEEDEDEDCBEDDDEDC
2;70;393;BBBCBDEEDDDCDCEC
2;71;393;BBBDEDDDEDEECCCEDDEE
2;72;391;DEDEDEDDEDEEEEDEDDEB
2;73;197;BCBBBDDEDBDDEBBEDDB
2;74;196;DEBBCCDEDDDDBDDCBDBE
2;75;196;BBCCDDDEDDEBEBDCBDDB
2;76;196;BCBBBCBDDEDEDBBBDCBB
2;77;196;DDDBCEDDDDEDDBBB
2;78;194;DDDBCEDEEDDBDEDD
2;79;193;DDEDDEDEDDBBCBE
2;80;192;DDEEDEDDEEDDCBEECEBB
2;81;0;DEDEDDDDDDEDDCEBEC
2;82;0;DDEDDEDBBDDBDDCBDCDB
2;83;0;DDDBBCBCCCBEDDDEDEDB
2;84;0;DDDBCEDEDDBBCBEC
2;85;0;DDEDDEDDBBCBBDDD
2;86;0;BBBCCCDDEDBBBCBDBBE
2;87;0;BBBDDDDDEDDCEBEBEC
2;88;0;DEDDEEBDDEDBDDEEDCC
2;89;0;BCDDEDEDBBBCBDBBE
2;90;0;BBBCBCCCBDDEDEECEC
2;91;0;DDDBCEDECBCBBBDDDB
2;92;0;BBCCDDDCBDEDDDD
2;93;0;DDDDDBDEDDDDBDEEBC
2;94;0;BBBDDDDDEDDBBBCBDBBC
2;95;0;DDDDDBDEDDDDBDEDBCBD
2;96;0;DDEDEDEDDDDDCCBDBDD
2;97;0;BCBCDDDDBDDCEBDBEBC
2;98;0;BBBCCCDDEEDDBBCBCCE
2;99;0;BBCCDDDDBBCBECE
