Geracao;Indice;Fitness;Caminho
1;2;395;DDECDDBDBBEEBD
1;3;393;DBDBEDCEDD
1;4;392;CEDEBCDDEBDDE
1;5;392;CBCBBCCBDBD
1;6;390;DDEDCEEDEEC
1;7;390;DDDBBEBEEEECCCE
1;8;195;EBBECEBBDBD
1;9;194;BDDBEEBCBCBD
1;10;193;BCCBEEBCEBB
1;11;193;BCCBECCBDBB
1;12;192;BDEDEBCBCB
1;13;192;CEBDDBCBCB
1;14;192;DCEBECCBDB
1;15;191;DCBCEDDBEDE
1;16;191;DDCEBEBECBDBCBCBCCB
1;17;191;CBCBBCCCBDE
1;18;191;EBBECCCBDBC
1;19;0;CCCCCCBEDECDDCBEEDB
1;20;0;DCCEDCBBCDEBBBC
1;21;0;CBDDBDBCDBDDCBB
1;22;0;CBDEEDCEEDEBEEEECCB
1;23;0;CEECECDBECDCECECDCEE
1;24;0;CDEDCEEBBEBBDCDCDCE
1;25;0;CDCCCDCECBECCEDCDCDC
1;26;0;EBCDDBBEECBCBBCEC
1;27;0;DDBCDDEDCEBEDD
1;28;0;DCEBECCEEE
1;29;0;EDCBCBBDCEBEDCCE
1;30;0;EECCDDDCEE
1;31;0;DDDBBEBECCBDCEB
1;32;0;EBCDBEDDDBDDDBD
1;33;0;BBCDDEDBECCBBEBD
1;34;0;ECCCCCDCBBEEDDBCDBBD
1;35;0;CBEDEBBDBE
1;36;0;CEBBBECBEEDEEB
1;37;0;EDCEBCDDDEBCBDEEEBDB
1;38;0;DECBBEEDCBDDCC
1;39;0;BBDEBDBBCEECD
1;40;0;BEDBCDCEEEB
1;41;0;BECDEDBDDECCDECBDBBE
1;42;0;BEDDCCBDBBBCDCBB
1;43;0;CCCCDEEEBCECBBCD
1;44;0;BBCDCCDBDCEEEBDEBBBB
1;45;0;EBEEEEEBBDCEEDCBD
1;46;0;EBBEECECDEE
1;47;0;EBBCDCCCCBEDCEB
1;48;0;DDBCBCCCCEEBECDBBED
1;49;0;CEEBDBCEDBEDBCEDDDDC
1;50;0;CBBEBDCCEB
1;51;0;ECCCDDCBCBEEE
1;52;0;ECEEDDEDCCBDB
1;53;0;BCDDCEDBBBEDDDBBED
1;54;0;ECBDCDDEEEDEC
1;55;0;BCEBCDCDCBCCDEC
1;56;0;CEBDDEBDDED
1;57;0;DDECDDBCCBDBEE
1;58;0;CEBDDDBBEEBDCC
1;59;0;DBDBECCBDB
1;60;0;CEBDDDCEDD
1;61;0;CEDEBCCCBDBCB
1;62;0;CEBDDDDEBDDEB
1;63;0;DDEDCCCBDBD
1;64;0;CEBDDEEDEEC
1;65;0;DDDBBEBCCBDBBBB
1;66;0;CEBDDEEEECCCEDB
1;67;0;CEBDDEBBDBD
1;68;0;BDDBEECCBDBE
1;69;0;CEBDDBCBCBDC
1;70;0;CEBDDEBCEBB
1;71;0;BDEDECCBDB
